asin,helpful,owner,rating,review,reviewDate,reviewLoc,sentiment,title
B08412HXK9,102,Teresa D. Patterson,1.0,"In the description it stated that tri-color should yield 100 pages. Well, they must have mistakenly added an extra zero. I doubt that I printed 10 pages clearly before the ""Low Ink"" message and the images started to streak. I'm so disappointed. There used to be a time when HP was a reputable company. I guess they've joined all the other scammers. Every cartridge is half full of ink, if that. I am over them. I will be switching to Lexmark or back to Canon. Buying ink cartridges every other day is just not in my budget. HP, if you're going to charge an arm and a leg for ink cartridges, at least full them to capacity.","January 19, 2021",the United States,,They Tried It
B08412HXK9,70,Amazon Customer,1.0,Purchased Oct 1st and do not install till second week in November. Today is December 18th and I have had low ink light for over 2 weeks and I have not printed more then 20 pages top. Waste of money and disappointed I purchased this printer. It is hard to find the ink in stock and when you do it does not last!,"December 19, 2020",the United States,,Can't print more then 20 pages on 1 cartridge!
B08412HXK9,45,Amazon Customer,1.0,"Not sure why we didn't get a full run from the ink cartridges.  Printer itself  is less than 6 months old.  This is my 82 year old mother's printer....so she doesn't print a lot.  She inserted the newly printed ink cartridges on 1/06/2021, and made about 6 color copies and 25 black/white copies before she started having issues, and it stopped printing.  She had just made one copy that had appeared to print a color picture, but without any black ink.  Then it stopped allowing her to print anything.  Printer:  HP Envy 6000.  Anyone else having this issue, or suggestions to resolve.","January 26, 2021",the United States,,Possible bad batch of HP ink ?  Other cause for problem ?
B08412HXK9,43,Crash,1.0,"This color print cartridge only lasted through about 20 of my Christmas letters.  Granted, I filled a page with pictures, but I feel like it should have lasted longer than 20 color pages!  Very disappointed in this product and angry that I had to find another resource for getting my Christmas letters finished.  Now I'm out of ink again!  :(","December 22, 2020",the United States,,Didn't last. At all.
B08412HXK9,36,michelle b,1.0,I had this ink for no longer than 3 prints!!!!! I used it to print out 3 things and once the fourth item came out it showed marks of low ink!! I’m furious and am never buying from this again!,"January 8, 2021",the United States,,DO NOT PURCHASE!!!!
B08412HXK9,31,Dan D.,2.0,"I needed to print twenty pages on one side only and the printer said replace cartridge. I did and it didn’t even make it through the twenty pages. I followed all the instructions and while it printed, it worked great. But then it started to run out and again I got a replace printer cartridge dialog. Scam?! Sent me an already empty cartridge?! Beware!","March 28, 2021",the United States,,Empty after not even twenty pages.
B08412HXK9,29,Noegel Roberts,1.0,"I have had these one month. I do not print very much at all, maybe a sheet or two every few days. When I installed these new cartridges, they became empty in one month. That's ridiculous. Junk.","February 28, 2021",the United States,,Runs Out in no Time
B08412HXK9,8,G. Silvestri,5.0,"These are the factory cartridges for my printer, and are therefore perfectly good for printing. Frankly, I prefer the HP 67 XL cartridges, which last much longer, but are more expensive.","December 21, 2020",the United States,,HP factory cartridges are reliably good
B08412HXK9,2,Marina,1.0,"I 've had to change the ink 3 times since i've purchased the printer in June.  But, I only print in black and white.  So, I only think to change the black ink but I still get the low ink alert.  No, this is not the case.  Ive updated the settings to print on the lowest ink to save and the low ink alert still continues to pop up with never using color.  Horrible ink.  Going back to laser printers.  DO NOT BUY","August 5, 2021",the United States,,Runs out of ink quick. DO NOT BUY
B08412HXK9,One,Donna P,5.0,"Printer died.  My brother the techie said he liked the HP Envy.  When I got it, there were no instructions on how to load toner.  By pressing all the buttons I finally figured it out.  I have to say, when I printed my first pages I really appreciated both the printer and these toners.  They seem to last longer and are 1/3 the price of what I used to have.  Happy customer.","September 16, 2021",the United States,,Reasonable price
